Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Training Time,Score Type for AUC
Logistic Regression,0.9924,0.9888,0.9953,0.992,0.9995,0.41,predict_proba
LinearSVC,0.9979,0.9962,0.9993,0.9978,1.0,0.51,decision_function (uncalibrated)
